,NPV,Break_Even,IRR,Cust_Contb,CLV,Tot_CLV,EV,MKTSH,Margin,Teach_Req,Teach_No_Req,Signup_Init,Signup_CAGR,Ret_Init,Ret_CAGR,User_Price,Class_Buy,Class_Buy_CAGR,Class_Per,Class_Price,Sponsor_Per,Sponsor_Price,Web_Dev,Web_Maint,Content_Dev,New_Courses,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Inst_Cost,Compute,Bandwidth,Staff_Salary,Ad_State,Ad_User,Legal,Admin,Payment_Proc,Misc,Bus_Dev_A,Bus_Dev_R
11.00,-232328.82,4.00,10.00,296.99,956.34,1309264.52,3135418.76,0.03,0.88,2.90,1.10,0.0025,0.71,0.22,0.09,46.40,0.64,0.08,3.00,157.24,1.00,88417.00,27688.00,0.14,54777.00,2.00,1953.00,44.00,0.29,4401.00,15.00,0.51,22.00,14008.00,2.70,0.65,113217.00,6545.00,3.69,4628.00,5085.00,0.05,5701.00,0.32,0.10
12.00,-34951.87,4.00,11.00,283.82,744.68,1363227.51,4257877.89,0.04,0.80,3.50,1.10,0.0025,0.82,0.27,0.09,59.80,0.46,0.06,4.00,138.05,1.00,92108.00,40672.00,0.20,34822.00,4.00,1627.00,55.00,0.29,5329.00,7.00,0.46,21.00,14966.00,2.70,0.86,82721.00,6334.00,6.83,4015.00,5982.00,0.05,4133.00,0.34,0.09
13.00,506319.25,4.00,12.00,381.58,966.75,2962431.41,11619147.97,0.06,0.83,3.30,1.40,0.0024,1.10,0.26,0.11,52.74,0.56,0.15,3.00,172.48,1.00,76158.00,39147.00,0.16,53582.00,4.00,4394.00,43.00,0.25,5377.00,12.00,0.50,21.00,14638.00,2.44,0.89,118946.00,5263.00,5.18,5166.00,6748.00,0.05,5920.00,0.20,0.07
14.00,22664.90,4.00,13.00,319.76,753.11,1122939.20,3803599.93,0.03,0.88,3.40,1.40,0.0024,0.72,0.29,0.10,51.63,0.40,0.10,3.00,138.22,1.00,117576.00,51010.00,0.15,35549.00,3.00,2314.00,58.00,0.25,4894.00,11.00,0.63,25.00,16265.00,2.56,1.09,83629.00,6062.00,7.34,5255.00,6747.00,0.05,6104.00,0.17,0.11
15.00,-550445.76,9.00,14.00,153.58,336.41,237800.45,-253235.18,0.02,0.89,2.50,1.30,0.0025,0.47,0.28,0.13,49.60,0.66,0.10,2.00,120.05,1.00,85599.00,65224.00,0.16,31396.00,4.00,2806.00,41.00,0.30,5033.00,12.00,0.63,19.00,14023.00,2.54,0.87,96075.00,5241.00,4.72,6152.00,5091.00,0.05,4319.00,0.30,0.14
16.00,-497614.22,5.00,15.00,217.17,715.27,371870.23,1867.55,0.01,0.90,2.50,1.00,0.0026,0.31,0.20,0.11,53.85,0.53,0.12,1.00,146.50,1.00,99162.00,65048.00,0.11,32439.00,4.00,1588.00,45.00,0.28,5057.00,14.00,0.48,14.00,15331.00,1.74,0.78,86010.00,6476.00,5.51,3429.00,5679.00,0.05,4235.00,0.25,0.06
17.00,-771352.06,9.00,16.00,8.96,23.58,28153.52,-1312630.67,0.03,0.79,3.00,1.10,0.0025,0.66,0.29,0.07,42.84,0.51,0.09,1.00,175.48,1.00,78990.00,43155.00,0.13,40056.00,5.00,1796.00,51.00,0.26,4649.00,4.00,0.50,15.00,14112.00,3.66,0.68,104902.00,6745.00,8.55,5086.00,6758.00,0.04,4731.00,0.25,0.13
18.00,344024.76,3.00,17.00,554.02,1055.10,1515413.50,7211897.14,0.03,0.87,2.90,1.20,0.0024,0.81,0.29,0.16,46.74,0.71,0.11,4.00,132.03,1.00,138415.00,74770.00,0.09,33316.00,2.00,2754.00,50.00,0.28,5441.00,11.00,0.53,19.00,15386.00,2.03,0.79,108831.00,5524.00,5.70,4875.00,6722.00,0.05,3729.00,0.23,0.10
19.00,-600533.18,5.00,18.00,135.20,343.70,330613.30,165674.68,0.02,0.87,2.90,1.20,0.0026,0.54,0.25,0.12,56.15,0.33,0.10,4.00,156.50,1.00,56868.00,57222.00,0.21,48713.00,4.00,3504.00,46.00,0.28,5220.00,16.00,0.47,25.00,16597.00,2.75,0.69,94979.00,6414.00,5.46,5165.00,6905.00,0.06,3938.00,0.24,0.10
20.00,47824.33,4.00,19.00,417.83,1251.09,2151613.99,6354726.30,0.03,0.86,3.20,1.90,0.0025,0.69,0.22,0.11,50.80,0.44,0.14,4.00,177.26,1.00,71325.00,63671.00,0.19,64754.00,5.00,2631.00,62.00,0.26,4866.00,11.00,0.39,23.00,14731.00,2.60,0.68,93415.00,6400.00,7.06,4335.00,5016.00,0.05,5827.00,0.37,0.13
21.00,20285.67,4.00,20.00,477.81,983.59,991201.73,3948399.34,0.02,0.91,3.50,1.10,0.0024,0.59,0.32,0.11,43.29,0.33,0.06,6.00,170.14,1.00,116389.00,44275.00,0.18,46207.00,4.00,2081.00,65.00,0.22,5301.00,13.00,0.49,25.00,14806.00,2.24,0.68,94867.00,6108.00,6.15,5073.00,6520.00,0.05,4374.00,0.22,0.07
22.00,101378.03,4.00,21.00,315.44,673.29,1438970.38,5760564.68,0.05,0.81,3.20,1.20,0.0023,0.99,0.32,0.10,52.30,0.43,0.05,4.00,163.21,1.00,123129.00,69993.00,0.14,29205.00,5.00,2281.00,47.00,0.15,5497.00,7.00,0.66,24.00,16673.00,2.48,0.80,103429.00,6332.00,6.72,4229.00,6033.00,0.05,5212.00,0.23,0.10
23.00,-122109.77,4.00,22.00,329.26,1196.16,1682240.15,3358109.35,0.04,0.87,2.80,1.00,0.0024,0.76,0.21,0.07,43.65,0.55,0.10,2.00,165.05,1.00,116869.00,66048.00,0.18,49858.00,6.00,3258.00,56.00,0.25,5073.00,12.00,0.40,19.00,14722.00,2.11,0.86,80652.00,6030.00,6.58,4207.00,6066.00,0.05,4236.00,0.25,0.11
24.00,-655951.92,5.00,23.00,61.29,250.28,672285.31,661793.26,0.06,0.74,3.70,0.80,0.0024,1.03,0.18,0.08,50.92,0.40,0.12,2.00,140.65,1.00,45099.00,51626.00,0.09,41638.00,5.00,1570.00,57.00,0.25,5304.00,11.00,0.49,19.00,15905.00,2.47,0.86,106090.00,6393.00,7.78,4455.00,5878.00,0.05,4870.00,0.20,0.10
25.00,-40262.29,4.00,24.00,520.95,1318.05,1261719.36,4129518.68,0.02,0.83,2.90,1.40,0.0025,0.53,0.28,0.09,38.57,0.66,0.10,5.00,151.93,1.00,98232.00,61298.00,0.13,52329.00,4.00,3071.00,46.00,0.20,3844.00,10.00,0.37,18.00,14301.00,1.67,0.75,108113.00,6281.00,2.92,5433.00,5125.00,0.06,5290.00,0.24,0.08
26.00,252865.80,4.00,25.00,486.04,1426.13,2175445.39,6644026.99,0.04,0.91,3.20,0.60,0.0026,0.81,0.26,0.07,60.45,0.35,0.08,7.00,143.75,1.00,99588.00,86609.00,0.14,63293.00,2.00,3169.00,44.00,0.28,4535.00,13.00,0.61,36.00,15192.00,2.77,0.79,91329.00,5796.00,5.75,5008.00,5896.00,0.05,5974.00,0.30,0.12
27.00,-349847.14,4.00,26.00,192.32,486.58,602423.18,1142409.01,0.03,0.86,2.90,1.60,0.0025,0.62,0.28,0.09,47.52,0.40,0.09,2.00,139.45,1.00,105067.00,41375.00,0.17,39453.00,3.00,2187.00,43.00,0.31,4741.00,10.00,0.33,24.00,15004.00,1.97,0.66,86531.00,6288.00,7.74,4336.00,7207.00,0.05,5755.00,0.18,0.13
28.00,-673436.75,9.00,27.00,83.91,247.68,396276.96,-212738.84,0.04,0.73,2.20,1.50,0.0025,0.81,0.24,0.09,48.63,0.50,0.11,2.00,127.50,1.00,99193.00,62806.00,0.17,31797.00,5.00,3877.00,41.00,0.19,4419.00,8.00,0.28,23.00,15562.00,2.41,0.87,110603.00,6287.00,7.92,3853.00,5663.00,0.05,5338.00,0.29,0.09
29.00,-487852.86,5.00,28.00,132.07,243.13,294802.82,373972.19,0.03,0.85,3.80,1.00,0.0025,0.66,0.30,0.16,49.89,0.34,0.13,2.00,133.64,1.00,79550.00,40771.00,0.14,48783.00,4.00,2936.00,48.00,0.27,5210.00,11.00,0.46,29.00,14844.00,1.87,0.89,79138.00,6694.00,7.90,4929.00,5955.00,0.05,5157.00,0.23,0.10
30.00,-131302.01,4.00,29.00,480.09,1054.16,1097284.58,3659978.40,0.03,0.87,2.50,1.30,0.0024,0.66,0.30,0.11,52.34,0.79,0.11,2.00,142.18,1.00,142084.00,62972.00,0.14,58265.00,5.00,3998.00,53.00,0.19,5080.00,6.00,0.53,19.00,15525.00,2.48,0.47,95380.00,6401.00,3.18,4228.00,5558.00,0.04,4058.00,0.23,0.12
31.00,172858.01,4.00,30.00,405.87,1113.99,1655696.53,5232062.38,0.04,0.83,3.10,0.80,0.0024,0.82,0.24,0.11,48.95,0.42,0.12,4.00,145.49,1.00,132576.00,22757.00,0.17,57292.00,4.00,2429.00,57.00,0.25,5143.00,5.00,0.63,17.00,15564.00,1.83,0.65,89612.00,5253.00,5.20,5243.00,5605.00,0.05,3439.00,0.26,0.07
32.00,-36623.04,4.00,31.00,290.59,935.73,1728142.31,4644933.69,0.04,0.75,3.30,1.30,0.0024,0.81,0.22,0.09,49.87,0.45,0.11,4.00,148.10,1.00,82034.00,49715.00,0.14,46005.00,2.00,2730.00,55.00,0.26,5637.00,4.00,0.51,24.00,15019.00,3.42,0.83,83354.00,6238.00,6.69,5409.00,6345.00,0.04,4135.00,0.18,0.11
33.00,-304092.71,4.00,32.00,185.37,555.05,1037183.94,2520921.00,0.04,0.79,3.10,1.20,0.0024,0.86,0.22,0.11,47.22,0.52,0.09,3.00,121.26,1.00,87174.00,60246.00,0.14,35210.00,4.00,2444.00,42.00,0.26,5577.00,11.00,0.49,23.00,15475.00,2.67,0.59,96011.00,6021.00,3.71,5812.00,5120.00,0.05,4658.00,0.24,0.08
34.00,-266701.70,4.00,33.00,415.54,1820.40,1372460.13,2259392.33,0.02,0.91,3.00,1.00,0.0025,0.40,0.14,0.13,40.12,0.56,0.07,6.00,158.84,1.00,72898.00,47561.00,0.13,36828.00,4.00,3729.00,55.00,0.28,5398.00,14.00,0.61,22.00,15610.00,2.72,0.72,117125.00,5511.00,10.84,4611.00,5313.00,0.05,4980.00,0.26,0.07
35.00,-499129.33,5.00,34.00,100.55,229.96,405951.90,423349.29,0.04,0.82,3.70,0.90,0.0024,0.85,0.25,0.15,52.43,0.28,0.11,2.00,113.67,1.00,94256.00,40801.00,0.15,44024.00,3.00,2943.00,48.00,0.29,5595.00,16.00,0.56,18.00,15763.00,2.29,0.81,88655.00,6227.00,9.64,4008.00,5766.00,0.05,4746.00,0.30,0.10
36.00,-331723.07,4.00,35.00,279.84,576.07,627234.11,2005555.47,0.03,0.83,2.90,0.70,0.0025,0.73,0.32,0.11,50.15,0.48,0.10,4.00,135.27,1.00,85576.00,47720.00,0.20,40344.00,3.00,2649.00,52.00,0.27,4616.00,8.00,0.46,18.00,13750.00,3.53,0.90,92218.00,6687.00,7.82,5170.00,5393.00,0.05,5435.00,0.27,0.07
37.00,-288312.45,4.00,36.00,418.36,1808.87,1022971.31,1324769.88,0.01,0.90,2.40,1.40,0.0024,0.30,0.17,0.08,50.22,0.44,0.10,3.00,164.59,1.00,106754.00,42995.00,0.17,33363.00,3.00,2230.00,52.00,0.29,5183.00,5.00,0.60,21.00,15774.00,2.96,0.97,86142.00,5965.00,8.10,3748.00,6669.00,0.05,5518.00,0.22,0.08
38.00,-455825.44,5.00,37.00,226.51,618.68,577627.14,1219964.34,0.03,0.85,2.40,0.90,0.0024,0.66,0.29,0.06,40.57,0.51,0.12,4.00,157.89,1.00,42316.00,38930.00,0.16,41508.00,5.00,2491.00,55.00,0.24,5001.00,10.00,0.53,25.00,13909.00,2.22,0.77,90557.00,5808.00,4.37,5580.00,6469.00,0.05,4760.00,0.34,0.11
39.00,-288836.61,4.00,38.00,183.54,501.32,813342.08,1992255.04,0.04,0.82,3.80,0.80,0.0025,0.77,0.29,0.06,47.37,0.51,0.08,2.00,150.39,1.00,84932.00,49120.00,0.15,40164.00,3.00,3911.00,55.00,0.28,6209.00,5.00,0.70,23.00,15243.00,2.38,0.69,81493.00,5269.00,5.96,5304.00,5468.00,0.05,4326.00,0.30,0.08
40.00,29716.57,4.00,39.00,248.71,564.94,1450161.60,5377639.16,0.07,0.77,2.50,1.20,0.0025,1.12,0.29,0.11,49.88,0.70,0.08,2.00,163.62,1.00,104937.00,68215.00,0.11,37131.00,5.00,2993.00,49.00,0.24,5525.00,10.00,0.33,23.00,16054.00,3.12,0.80,90604.00,6153.00,7.65,5420.00,6155.00,0.05,4447.00,0.29,0.07
41.00,277577.25,3.00,40.00,744.45,1383.58,1246259.47,5395967.64,0.02,0.91,3.20,1.00,0.0025,0.58,0.33,0.13,54.31,0.40,0.09,5.00,172.06,1.00,176663.00,54177.00,0.14,36056.00,4.00,2956.00,54.00,0.21,4987.00,10.00,0.55,16.00,14565.00,2.65,0.66,100627.00,6001.00,4.74,5638.00,5488.00,0.05,4582.00,0.31,0.09
42.00,-471296.09,5.00,41.00,82.48,402.38,1608185.82,2254801.96,0.09,0.78,3.10,1.10,0.0025,1.25,0.14,0.10,51.16,0.51,0.10,1.00,173.80,1.00,61165.00,59086.00,0.16,33535.00,3.00,3820.00,58.00,0.28,4975.00,11.00,0.46,24.00,14815.00,1.31,0.68,104895.00,5563.00,4.07,4305.00,5589.00,0.05,5021.00,0.34,0.12
43.00,271560.05,4.00,42.00,403.55,1561.16,2772918.87,6180199.30,0.04,0.87,3.00,1.20,0.0023,0.84,0.19,0.08,49.01,0.66,0.09,3.00,133.67,1.00,115957.00,36935.00,0.16,33795.00,5.00,3077.00,55.00,0.21,5034.00,14.00,0.59,22.00,14938.00,1.66,0.70,81748.00,5697.00,5.29,6442.00,5773.00,0.05,5613.00,0.34,0.11
44.00,-732150.97,9.00,43.00,-18.00,-39.42,-53286.17,-1373032.45,0.03,0.70,3.90,0.80,0.0024,0.72,0.28,0.13,49.41,0.68,0.11,1.00,124.43,1.00,39352.00,63712.00,0.14,31221.00,6.00,2386.00,43.00,0.30,5663.00,10.00,0.41,19.00,14272.00,2.43,0.81,75185.00,5505.00,5.31,4988.00,6017.00,0.04,5840.00,0.29,0.09
45.00,-384371.30,4.00,44.00,279.10,549.23,273986.50,357694.98,0.01,0.91,2.70,1.50,0.0025,0.31,0.36,0.09,39.32,0.45,0.07,3.00,143.76,1.00,104468.00,42596.00,0.16,46869.00,2.00,729.00,54.00,0.22,5500.00,11.00,0.61,17.00,13806.00,2.26,0.83,100071.00,5542.00,4.25,4424.00,5332.00,0.05,4033.00,0.19,0.10
46.00,320982.58,3.00,45.00,456.17,1156.20,1699892.26,5906536.53,0.03,0.87,3.00,1.20,0.0025,0.75,0.29,0.08,53.16,0.52,0.12,4.00,143.78,1.00,116506.00,26093.00,0.15,34909.00,4.00,2488.00,53.00,0.21,5224.00,12.00,0.46,25.00,14060.00,2.20,0.68,90860.00,6397.00,7.25,5556.00,6643.00,0.06,6838.00,0.13,0.11
47.00,-787396.98,9.00,46.00,65.10,200.50,227612.66,-470379.38,0.02,0.74,3.70,1.60,0.0025,0.49,0.23,0.09,47.93,0.50,0.12,3.00,142.59,1.00,53652.00,69454.00,0.20,41646.00,5.00,2277.00,58.00,0.24,4409.00,5.00,0.44,18.00,14557.00,2.05,0.83,104026.00,6465.00,8.61,6260.00,6267.00,0.05,5813.00,0.23,0.11
48.00,901038.29,3.00,47.00,554.11,1587.01,4062881.09,14113679.22,0.06,0.73,3.50,1.10,0.0024,1.01,0.23,0.11,49.97,0.53,0.11,7.00,135.42,1.00,118392.00,52466.00,0.13,53707.00,4.00,1752.00,46.00,0.27,4853.00,9.00,0.34,18.00,16150.00,2.76,0.78,90507.00,5894.00,8.93,5900.00,5681.00,0.05,4549.00,0.20,0.08
49.00,424833.09,4.00,48.00,416.89,1111.69,2813247.33,10473254.69,0.07,0.77,2.20,1.30,0.0025,1.11,0.23,0.13,52.20,0.53,0.11,5.00,146.50,1.00,86761.00,53097.00,0.17,35135.00,2.00,41.00,53.00,0.21,5659.00,11.00,0.63,8.00,13365.00,2.12,0.90,103123.00,4679.00,3.97,5496.00,6529.00,0.05,6406.00,0.23,0.10
50.00,554084.54,3.00,49.00,881.03,2349.34,2519748.41,8238192.45,0.03,0.89,2.40,1.10,0.0025,0.67,0.23,0.13,46.58,0.51,0.08,6.00,160.83,1.00,187164.00,53462.00,0.17,52682.00,3.00,2722.00,55.00,0.17,4592.00,10.00,0.43,18.00,14680.00,2.67,0.70,97525.00,6210.00,3.33,5048.00,6247.00,0.05,5750.00,0.30,0.12
51.00,-93513.08,4.00,50.00,202.37,801.46,2022760.36,4196427.84,0.06,0.82,3.90,0.80,0.0026,0.93,0.20,0.06,55.11,0.42,0.09,3.00,133.49,1.00,103521.00,35428.00,0.12,44578.00,3.00,1730.00,58.00,0.24,5661.00,8.00,0.68,18.00,15833.00,2.13,0.80,112550.00,5480.00,5.82,5192.00,5854.00,0.04,4877.00,0.26,0.12
52.00,318605.81,4.00,51.00,696.48,2225.80,2344532.96,6867542.20,0.03,0.85,2.40,1.10,0.0024,0.66,0.23,0.08,51.68,0.53,0.09,7.00,174.91,1.00,62463.00,64557.00,0.13,36428.00,6.00,2465.00,58.00,0.29,5284.00,7.00,0.48,22.00,15178.00,2.17,0.82,76580.00,5883.00,2.36,6281.00,4796.00,0.05,4986.00,0.26,0.09
53.00,-513508.64,5.00,52.00,161.34,440.79,768807.62,1622026.25,0.04,0.74,3.20,1.10,0.0026,0.80,0.25,0.10,51.46,0.54,0.09,3.00,122.73,1.00,82756.00,75325.00,0.15,35149.00,4.00,3574.00,55.00,0.26,5882.00,7.00,0.53,13.00,14966.00,2.09,0.87,99601.00,7056.00,3.78,5963.00,5358.00,0.05,5340.00,0.23,0.10
54.00,-115783.70,4.00,53.00,209.86,658.28,1518777.03,3967112.62,0.04,0.85,4.10,1.40,0.0026,0.80,0.21,0.11,51.41,0.40,0.14,2.00,157.75,1.00,112993.00,61086.00,0.13,25977.00,5.00,2536.00,51.00,0.24,5289.00,16.00,0.50,22.00,12558.00,3.20,0.76,109638.00,6253.00,5.39,3125.00,6677.00,0.04,5073.00,0.19,0.06
55.00,-360797.40,4.00,54.00,169.26,536.29,597173.30,683627.04,0.02,0.84,3.30,1.20,0.0025,0.56,0.25,0.06,50.32,0.41,0.10,1.00,134.97,1.00,116593.00,39880.00,0.16,50286.00,3.00,2176.00,57.00,0.25,5435.00,5.00,0.50,18.00,16294.00,2.74,0.71,85479.00,5996.00,7.75,4543.00,5029.00,0.05,5270.00,0.19,0.10
56.00,221750.91,3.00,55.00,425.54,1162.59,1987129.70,6595230.47,0.04,0.85,3.50,0.90,0.0025,0.81,0.25,0.10,52.79,0.38,0.05,5.00,183.70,1.00,114231.00,60562.00,0.13,36691.00,4.00,1233.00,45.00,0.25,5664.00,14.00,0.54,16.00,16351.00,1.97,0.88,83942.00,6005.00,6.49,4295.00,5700.00,0.05,4634.00,0.25,0.08
57.00,330543.14,4.00,56.00,392.38,1576.48,3173266.93,7176380.63,0.04,0.82,3.80,1.10,0.0026,0.77,0.17,0.10,55.96,0.40,0.10,6.00,129.56,1.00,113205.00,68001.00,0.15,46464.00,5.00,2388.00,42.00,0.20,5643.00,11.00,0.69,18.00,15759.00,1.36,0.62,95290.00,5746.00,5.03,4172.00,6484.00,0.05,3136.00,0.22,0.09
58.00,224788.87,4.00,57.00,394.36,895.81,1596065.16,6019215.55,0.05,0.88,2.70,0.80,0.0026,0.95,0.27,0.13,56.93,0.36,0.08,5.00,142.61,1.00,127601.00,36479.00,0.15,43181.00,4.00,3205.00,56.00,0.24,5202.00,14.00,0.56,24.00,14671.00,2.89,0.72,95812.00,6441.00,5.21,5168.00,5911.00,0.04,4232.00,0.25,0.11
59.00,-3781458.46,9.00,58.00,-404.11,-894.63,-2828160.18,-15944203.51,0.07,-0.28,3.30,1.30,0.0025,1.13,0.32,0.09,53.22,0.51,0.10,7.00,142.13,1.00,101340.00,77028.00,0.17,51389.00,5.00,3086.00,55.00,0.23,5593.00,3.00,0.53,5.00,15168.00,1.96,0.96,99055.00,6734.00,11.81,5194.00,5701.00,0.04,5003.00,0.20,0.11
60.00,-791601.55,9.00,59.00,6.00,17.00,16633.86,-1085256.00,0.03,0.73,2.70,0.90,0.0025,0.62,0.25,0.09,49.76,0.38,0.13,3.00,147.25,1.00,53258.00,57923.00,0.19,38080.00,4.00,2617.00,38.00,0.22,4932.00,5.00,0.54,17.00,14594.00,2.79,0.86,99467.00,6045.00,5.60,4863.00,7001.00,0.05,5296.00,0.17,0.12
61.00,-227454.55,4.00,60.00,434.67,1193.04,890461.92,2239680.82,0.02,0.87,1.90,1.70,0.0025,0.46,0.24,0.11,43.57,0.57,0.12,4.00,155.49,1.00,87736.00,53186.00,0.12,32988.00,4.00,1936.00,50.00,0.27,5607.00,8.00,0.37,26.00,12871.00,2.47,0.79,96102.00,5509.00,6.08,4881.00,5617.00,0.05,5310.00,0.27,0.13
62.00,-298029.25,4.00,61.00,255.51,1246.55,1381819.60,1774031.41,0.03,0.88,3.40,0.60,0.0024,0.61,0.14,0.10,51.63,0.40,0.12,2.00,162.30,1.00,116440.00,54087.00,0.18,34414.00,3.00,2049.00,54.00,0.18,3943.00,10.00,0.51,18.00,14996.00,3.04,0.57,99374.00,6258.00,5.88,4073.00,4278.00,0.05,5395.00,0.25,0.06
63.00,-327932.58,4.00,62.00,177.47,468.58,700625.23,1634699.95,0.04,0.84,2.60,1.30,0.0025,0.78,0.30,0.06,51.60,0.54,0.06,2.00,154.77,1.00,81220.00,56776.00,0.14,45277.00,4.00,2805.00,47.00,0.27,4174.00,15.00,0.50,10.00,13425.00,2.07,0.77,88330.00,5313.00,6.15,5220.00,4020.00,0.05,4988.00,0.27,0.10
64.00,-170416.65,4.00,63.00,448.24,1093.40,965398.53,2951559.28,0.02,0.88,2.90,1.50,0.0026,0.47,0.28,0.10,51.71,0.49,0.10,6.00,147.73,1.00,87789.00,32126.00,0.15,40734.00,5.00,2740.00,58.00,0.30,5546.00,11.00,0.42,23.00,14995.00,2.08,0.67,113717.00,5226.00,6.65,6397.00,5978.00,0.05,5473.00,0.38,0.10
65.00,-121021.17,4.00,64.00,280.48,1168.81,1909446.83,3737859.52,0.03,0.79,3.40,1.30,0.0025,0.69,0.17,0.09,46.97,0.44,0.11,4.00,133.55,1.00,92122.00,32893.00,0.15,37660.00,1.00,3183.00,49.00,0.26,5149.00,10.00,0.47,15.00,15196.00,2.72,0.73,88780.00,6851.00,6.41,5021.00,7285.00,0.05,5005.00,0.25,0.09
66.00,-750157.33,5.00,65.00,59.52,243.04,387880.23,226761.47,0.04,0.71,2.80,1.50,0.0025,0.71,0.18,0.08,49.84,0.50,0.11,4.00,137.30,1.00,3385.00,57516.00,0.14,35167.00,4.00,2275.00,57.00,0.19,4283.00,9.00,0.46,16.00,15606.00,2.08,0.72,110597.00,6201.00,4.35,5107.00,5429.00,0.06,5214.00,0.13,0.08
