,NPV,BE,Cash_Burn,Net_Con,CLV,Tot_CLV,EV,EV_Rev,MKTSH,Margin,Teach,Signup,Signup_CAGR,Ret,Buy_Class,Buy_Class_CAGR,Class_Price,Course_Cost,Users_Per_Mod,Users_Per_Mod_CAGR,Mod_Cost,Seat_Class,Seat_Class_CAGR,Class_Per_Inst,Misc,E_Dev,E_Course,E_Mod,E_Instr,E_IT,E_Staff,E_Market,E_BizDev,E_Other,E_Total
57.00,349924.03,4.00,450413.82,355.97,810.44,2260412.79,9324147.99,6332503.10,0.07,0.72,2.70,0.31,1.02,0.30,0.67,0.08,141.55,4067.00,46.00,0.27,4804.00,7.00,0.42,16.00,4961.00,105000.00,34514.19,71160.69,222192.00,4108.25,399304.00,184764.18,60000.00,69847.88,1150891.19
58.00,775624.94,3.00,363716.30,572.22,2171.31,4732527.29,12255512.49,6440042.48,0.05,0.83,2.90,0.30,0.82,0.18,0.76,0.11,149.48,2514.00,53.00,0.28,5777.00,13.00,0.52,13.00,4197.00,97500.00,10458.24,35586.32,76800.00,1325.66,193800.00,130008.06,25000.00,38252.71,608730.99
59.00,-307795.43,4.00,506649.11,278.49,864.61,952431.68,1901969.12,2787004.53,0.03,0.78,2.90,0.30,0.51,0.22,0.44,0.09,151.96,3774.00,42.00,0.24,4338.00,9.00,0.39,13.00,4431.00,105000.00,32027.67,54873.96,126696.00,2484.46,399304.00,183307.20,60000.00,58970.28,1022663.59
60.00,-70138.90,4.00,451236.89,360.82,1071.51,1521975.17,4146685.64,3474912.61,0.04,0.83,2.50,0.31,0.66,0.23,0.46,0.15,134.52,3755.00,48.00,0.22,5533.00,11.00,0.36,26.00,5611.00,105000.00,31866.43,69990.24,63048.00,2740.27,399304.00,183518.34,60000.00,63225.86,978693.15
61.00,-42711.15,4.00,425609.88,350.80,1041.74,1439924.82,3896136.67,3133323.90,0.03,0.88,2.90,0.32,0.59,0.23,0.39,0.13,145.08,2789.00,57.00,0.27,4541.00,10.00,0.56,25.00,5477.00,105000.00,23668.57,47807.65,63048.00,2739.90,399304.00,183719.56,60000.00,62545.94,947833.62
62.00,190480.88,4.00,413333.69,294.90,959.15,2451107.89,6774450.76,4718131.30,0.06,0.79,3.00,0.30,0.91,0.21,0.40,0.07,176.63,3026.00,54.00,0.27,5025.00,6.00,0.36,25.00,3744.00,105000.00,25679.85,68999.28,111096.00,3282.93,399304.00,184558.56,60000.00,61320.39,1019241.00
63.00,-332877.48,4.00,521288.61,262.84,718.08,837062.84,1959065.29,2908715.47,0.03,0.75,2.40,0.29,0.62,0.25,0.39,0.12,157.51,2436.00,54.00,0.17,5560.00,9.00,0.44,10.00,5747.00,105000.00,20672.87,52975.68,126696.00,2204.87,399304.00,183159.96,60000.00,61804.03,1011817.41
64.00,841284.07,3.00,360482.73,311.70,709.66,3212721.04,13830509.31,6943227.69,0.10,0.85,3.20,0.30,1.26,0.30,0.45,0.09,134.18,3795.00,55.00,0.25,4324.00,18.00,0.43,23.00,5608.00,97500.00,15787.20,26635.84,30600.00,1256.87,193800.00,130374.85,25000.00,38846.34,559801.10
65.00,83933.09,4.00,434150.99,289.35,1040.15,2362879.40,5778627.65,4224866.65,0.05,0.80,2.90,0.31,0.83,0.19,0.46,0.08,141.86,2165.00,40.00,0.24,5105.00,10.00,0.46,21.00,4169.00,105000.00,18373.06,86450.11,94872.00,3355.41,399304.00,184340.45,60000.00,61293.58,1012988.61
66.00,-410992.39,4.00,544350.19,293.01,1250.80,985395.90,1170491.69,2346516.39,0.02,0.82,2.40,0.29,0.39,0.16,0.39,0.12,151.98,2125.00,40.00,0.32,5142.00,6.00,0.49,14.00,4965.00,105000.00,18033.60,54134.98,126696.00,1925.24,399304.00,182642.96,60000.00,57900.87,1005637.65
67.00,107047.79,4.00,437168.82,315.54,897.98,1918515.28,5975484.54,4433513.42,0.05,0.78,3.50,0.30,0.78,0.24,0.45,0.11,150.51,1994.00,48.00,0.20,5481.00,8.00,0.48,18.00,4975.00,105000.00,16921.88,86889.20,126696.00,3523.19,399304.00,184555.41,60000.00,65425.00,1048314.68
68.00,-200493.09,4.00,486991.76,256.89,923.47,1419065.55,2845712.62,2923407.70,0.03,0.85,3.50,0.32,0.56,0.19,0.32,0.10,151.66,3881.00,51.00,0.30,5000.00,9.00,0.56,16.00,4776.00,105000.00,32935.72,63248.00,94872.00,2872.80,399304.00,184063.11,60000.00,60012.32,1002307.94
69.00,1290906.11,4.00,416702.08,451.96,1624.71,7400129.23,21042967.55,10521653.69,0.13,0.78,2.20,0.31,1.33,0.19,0.52,0.14,166.26,2351.00,60.00,0.21,4679.00,5.00,0.65,15.00,5407.00,105000.00,19951.53,64630.09,254016.00,4275.60,399304.00,185208.96,60000.00,73684.68,1166070.85
70.00,36935.44,4.00,464199.80,240.84,609.25,1651708.78,5698713.16,4477235.37,0.06,0.75,3.30,0.30,0.94,0.27,0.33,0.13,148.01,2077.00,58.00,0.26,5407.00,9.00,0.39,15.00,5702.00,105000.00,17626.25,74244.60,111096.00,3362.28,399304.00,184934.61,60000.00,64953.17,1020520.91
71.00,-55370.16,4.00,467956.42,185.23,602.44,1824035.24,4642763.24,3676591.37,0.07,0.83,3.30,0.30,0.97,0.21,0.26,0.10,129.62,2724.00,58.00,0.22,5390.00,14.00,0.71,26.00,4811.00,105000.00,23116.95,79840.99,46824.00,3231.54,399304.00,185040.49,60000.00,59027.21,961385.18
72.00,1125571.39,3.00,363833.39,535.50,1741.69,5483019.77,17013477.84,9397862.98,0.07,0.74,3.60,0.30,0.96,0.21,0.64,0.15,168.81,2695.00,60.00,0.21,4676.00,7.00,0.36,17.00,5112.00,97500.00,11211.20,28804.16,108000.00,1509.82,193800.00,130334.49,25000.00,41563.05,637722.71
73.00,-132078.70,4.00,446949.20,319.77,661.84,873440.18,3222329.60,3060083.53,0.03,0.84,3.30,0.29,0.63,0.33,0.46,0.10,137.91,2334.00,54.00,0.25,5918.00,10.00,0.55,20.00,6069.00,105000.00,19807.26,62304.70,78648.00,2792.09,399304.00,183806.89,60000.00,64756.24,976419.18
74.00,-547632.39,5.00,596702.99,155.42,321.68,280477.41,106861.83,2071346.96,0.02,0.77,2.90,0.30,0.47,0.33,0.38,0.07,117.26,2148.00,57.00,0.19,6037.00,12.00,0.48,7.00,4265.00,112500.00,27893.62,98265.36,209187.84,4445.48,613028.16,232935.38,105000.00,79105.38,1482361.23
75.00,204613.16,4.00,372869.03,369.84,1010.42,1896359.61,6221352.20,3973256.92,0.04,0.88,3.40,0.30,0.73,0.25,0.45,0.11,145.82,1751.00,47.00,0.30,4434.00,11.00,0.47,29.00,5743.00,105000.00,14859.69,60884.14,63048.00,3308.95,399304.00,184309.04,60000.00,66481.41,957195.23
76.00,-64275.59,4.00,421551.47,314.80,1075.05,1551646.68,3605027.54,3020644.60,0.03,0.88,3.00,0.29,0.63,0.20,0.38,0.09,152.35,1892.00,60.00,0.27,4361.00,10.00,0.41,30.00,4952.00,105000.00,16056.27,41551.61,63048.00,2582.37,399304.00,183599.21,60000.00,60289.91,931431.36
77.00,697221.49,3.00,355267.46,463.20,1171.74,3093545.60,11990180.61,6211679.45,0.06,0.85,2.80,0.29,1.00,0.27,0.52,0.12,163.08,1690.00,54.00,0.27,5242.00,7.00,0.52,28.00,4837.00,97500.00,7030.40,27048.72,46200.00,1092.86,193800.00,130026.23,25000.00,37820.12,565518.33
78.00,210831.37,4.00,441233.24,251.34,591.96,1939011.26,7562066.23,4811330.50,0.08,0.82,2.90,0.30,1.10,0.29,0.39,0.09,130.29,1508.00,48.00,0.32,5033.00,10.00,0.53,19.00,4488.00,105000.00,12797.49,74552.82,94872.00,3530.44,399304.00,185096.04,60000.00,61098.39,996251.19
79.00,-424628.99,4.00,517316.97,204.51,821.65,748230.24,623474.78,2135732.64,0.02,0.83,2.70,0.31,0.40,0.17,0.43,0.05,116.55,3113.00,53.00,0.17,4933.00,8.00,0.43,25.00,6000.00,105000.00,26418.16,51934.62,78648.00,2229.83,399304.00,182988.96,60000.00,60555.45,967079.03
80.00,346228.58,4.00,362062.90,398.30,938.09,1983343.75,7783085.45,4618872.78,0.05,0.86,3.20,0.30,0.83,0.29,0.50,0.11,146.08,2655.00,56.00,0.21,5509.00,18.00,0.39,26.00,4468.00,105000.00,22531.39,75645.18,63048.00,3496.18,399304.00,184472.98,60000.00,64059.79,977557.52
81.00,-65698.91,4.00,415468.45,455.23,1151.57,1157393.43,3624491.89,2920999.22,0.03,0.91,1.90,0.31,0.59,0.27,0.45,0.13,156.82,2518.00,58.00,0.27,4589.00,13.00,0.56,26.00,4576.00,105000.00,21368.76,33987.97,46824.00,2096.92,399304.00,182906.56,60000.00,58340.19,909828.39
